SaleID,ProductID,ProductName,Brand,Category,RetailerID,RetailerName,Channel,Location,Quantity,Price,Date
1,1,Laptop,BrandA,Electronics,1,TechGear,Online,,3,4500,2024-02-05
2,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,1,100,2024-02-24
3,5,Blender,BrandE,Appliances,1,TechGear,Online,,4,800,2024-02-10
4,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-26
5,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,1,100,2024-02-09
6,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-06
7,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,5,1500,2024-02-14
8,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-04
9,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-20
10,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,1,100,2024-02-25
11,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-02-17
12,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-03
13,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,4,1200,2024-02-25
14,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,5,7500,2024-02-19
15,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,1,800,2024-02-22
16,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,3,4500,2024-02-21
17,1,Laptop,BrandA,Electronics,1,TechGear,Online,,1,1500,2024-02-01
18,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,3,900,2024-02-14
19,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-17
20,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,1,800,2024-01-30
21,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,5,1000,2024-02-23
22,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-14
23,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,5,4000,2024-02-06
24,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,1,100,2024-02-18
25,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,3,300,2024-02-03
26,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-26
27,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,2,400,2024-02-18
28,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-01-31
29,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-24
30,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,5,1000,2024-02-20
31,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,3,900,2024-02-16
32,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-12
33,1,Laptop,BrandA,Electronics,1,TechGear,Online,,1,1500,2024-02-01
34,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,4,400,2024-02-23
35,5,Blender,BrandE,Appliances,1,TechGear,Online,,4,800,2024-02-16
36,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,3,600,2024-02-12
37,5,Blender,BrandE,Appliances,1,TechGear,Online,,1,200,2024-02-07
38,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,3,600,2024-02-04
39,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,2,3000,2024-02-15
40,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-01-29
41,5,Blender,BrandE,Appliances,1,TechGear,Online,,1,200,2024-02-12
42,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,5,4000,2024-02-12
43,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-17
44,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,1,200,2024-01-30
45,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-13
46,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,3,4500,2024-01-31
47,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,5,500,2024-02-21
48,1,Laptop,BrandA,Electronics,1,TechGear,Online,,4,6000,2024-02-05
49,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,2,3000,2024-02-04
50,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,5,500,2024-02-13
51,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,5,500,2024-02-12
52,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,5,1500,2024-01-30
53,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,4,400,2024-02-19
54,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,5,4000,2024-01-31
55,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,2,600,2024-02-21
56,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,5,7500,2024-02-28
57,5,Blender,BrandE,Appliances,1,TechGear,Online,,2,400,2024-02-10
58,1,Laptop,BrandA,Electronics,1,TechGear,Online,,1,1500,2024-02-06
59,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,1,100,2024-01-31
60,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-12
61,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,2,1600,2024-02-13
62,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-05
63,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,4,800,2024-02-21
64,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,1,300,2024-02-25
65,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-02-15
66,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,1,300,2024-02-27
67,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,3,4500,2024-02-05
68,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-22
69,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,4,800,2024-02-24
70,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-14
71,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,5,7500,2024-02-03
1001, ,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,4,800,2024-02-21
72,1,Laptop,BrandA,Electronics,1,TechGear,Online,,5,7500,2024-02-08
73,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-01-30
74,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,4,400,2024-02-13
75,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,1,100,2024-01-31
76,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,4,400,2024-02-28
77,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,4,3200,2024-02-19
78,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-06
79,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-19
80,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,5,7500,2024-02-05
81,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,1,1500,2024-02-18
82,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,5,7500,2024-02-13
83,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-27
84,1,Laptop,BrandA,Electronics,1,TechGear,Online,,5,7500,2024-02-26
85,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,2,3000,2024-02-01
86,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,5,1500,2024-01-29
87,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,1,100,2024-02-09
88,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-15
89,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,3,600,2024-02-18
90,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,3,300,2024-02-06
91,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-16
92,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,1,800,2024-02-18
93,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,5,7500,2024-02-09
94,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-11
95,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,3,600,2024-02-24
96,1,Laptop,BrandA,Electronics,1,TechGear,Online,,3,4500,2024-02-17
97,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,5,500,2024-02-02
98,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,5,4000,2024-02-03
99,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,5,7500,2024-02-02
100,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,2,1600,2024-02-25
101,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,1,800,2024-01-31
102,5,Blender,BrandE,Appliances,1,TechGear,Online,,3,600,2024-02-20
103,5,Blender,BrandE,Appliances,1,TechGear,Online,,3,600,2024-02-06
104,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,3,300,2024-02-08
105,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-20
106,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,3,4500,2024-02-15
107,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-18
108,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,4,3200,2024-02-05
109,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,5,1000,2024-02-15
110,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-26
111,5,Blender,BrandE,Appliances,1,TechGear,Online,,3,600,2024-02-02
112,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-24
113,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,3,300,2024-02-19
114,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,2,3000,2024-02-22
115,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,5,7500,2024-02-04
116,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,2,600,2024-02-05
117,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-03
118,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-02-23
119,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,2,600,2024-02-01
120,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,1,800,2024-02-03
121,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,4,1200,2024-02-01
122,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-02
123,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,2,1600,2024-02-02
124,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-07
125,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,1,300,2024-02-20
126,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,5,4000,2024-02-08
127,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,5,1500,2024-02-02
128,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,3,2400,2024-02-25
129,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,3,300,2024-01-29
130,1,Laptop,BrandA,Electronics,1,TechGear,Online,,4,6000,2024-02-09
131,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,3,2400,2024-02-03
132,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,1,300,2024-02-12
133,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,3,900,2024-02-22
134,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,1,1500,2024-02-15
135,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,2,400,2024-02-07
136,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,3,2400,2024-02-26
137,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-07
138,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,4,3200,2024-02-19
139,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,3,2400,2024-02-06
140,5,Blender,BrandE,Appliances,1,TechGear,Online,,4,800,2024-02-22
141,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,2,600,2024-02-05
142,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-19
143,5,Blender,BrandE,Appliances,1,TechGear,Online,,3,600,2024-02-19
144,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,5,500,2024-02-03
145,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-18
146,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-07
147,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,2,400,2024-02-03
148,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,5,7500,2024-02-12
149,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-02
150,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-03
151,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-27
152,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,1,300,2024-02-01
153,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,5,1500,2024-01-31
154,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,4,400,2024-02-06
155,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-21
156,1,Laptop,BrandA,Electronics,1,TechGear,Online,,4,6000,2024-02-04
157,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,5,500,2024-02-03
158,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,2,600,2024-02-11
159,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,4,6000,2024-02-24
160,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,3,600,2024-02-09
161,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,5,1500,2024-02-02
162,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,2,600,2024-02-14
163,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-20
164,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,2,1600,2024-02-13
165,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,3,2400,2024-02-26
166,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,3,300,2024-02-18
167,5,Blender,BrandE,Appliances,1,TechGear,Online,,2,400,2024-02-24
168,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-06
169,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-15
170,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,4,3200,2024-02-14
171,1,Laptop,BrandA,Electronics,1,TechGear,Online,,4,6000,2024-02-02
172,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,1,300,2024-01-29
173,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-13
174,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,4,3200,2024-02-04
175,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,5,1500,2024-02-05
176,5,Blender,BrandE,Appliances,1,TechGear,Online,,2,400,2024-02-13
177,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,1,800,2024-02-13
178,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-02-07
179,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-01-30
180,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-28
181,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,1,200,2024-02-07
182,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,2,3000,2024-02-15
183,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-02-27
184,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-02-22
185,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,4,3200,2024-02-04
186,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,1,800,2024-02-20
187,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,5,1500,2024-02-05
188,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,1,1500,2024-02-21
189,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-01-29
190,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,2,200,2024-02-09
191,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,1,100,2024-02-13
192,5,Blender,BrandE,Appliances,1,TechGear,Online,,3,600,2024-02-14
193,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,5,4000,2024-02-09
194,1,Laptop,BrandA,Electronics,1,TechGear,Online,,3,4500,2024-01-29
195,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,3,4500,2024-02-28
196,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-01-30
197,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,1,300,2024-02-22
198,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,2,400,2024-02-02
199,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,3,4500,2024-02-04
200,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-03
201,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,4,6000,2024-02-11
202,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,3,2400,2024-02-12
203,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,4,6000,2024-02-02
204,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,3,4500,2024-01-29
205,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,4,1200,2024-02-24
206,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,3,300,2024-02-12
207,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,4,800,2024-02-04
208,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,5,1500,2024-02-02
209,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,2,1600,2024-02-01
210,1,Laptop,BrandA,Electronics,2,HomeEssentials,Offline,New York,4,6000,2024-01-31
211,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,5,500,2024-02-10
212,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-02-28
213,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-13
214,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,3,2400,2024-02-18
215,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,3,600,2024-01-31
216,5,Blender,BrandE,Appliances,1,TechGear,Online,,2,400,2024-02-12
217,1,Laptop,BrandA,Electronics,1,TechGear,Online,,4,6000,2024-02-05
218,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,2,600,2024-02-04
219,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,4,1200,2024-02-06
220,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-02-26
221,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-06
222,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,3,2400,2024-02-10
223,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,3,900,2024-02-12
224,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,3,900,2024-02-11
225,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,3,2400,2024-02-14
226,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,1,800,2024-02-21
227,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,5,500,2024-02-25
228,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-22
229,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,5,4000,2024-02-10
230,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,2,400,2024-02-25
231,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-17
232,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,5,4000,2024-02-06
233,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,1,100,2024-02-27
234,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,2,400,2024-02-06
235,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,1,300,2024-02-01
236,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,4,800,2024-02-13
237,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,1,300,2024-02-23
238,3,Smartphone,BrandC,Electronics,2,HomeEssentials,Offline,New York,1,800,2024-02-25
239,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,5,1500,2024-02-26
240,1,Laptop,BrandA,Electronics,1,TechGear,Online,,5,7500,2024-02-24
241,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,1,800,2024-02-21
242,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,5,1000,2024-02-09
243,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-04
244,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,4,1200,2024-01-30
245,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,3,2400,2024-02-15
246,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,5,1000,2024-02-27
247,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-08
248,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,2,1600,2024-02-26
249,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,1,100,2024-02-11
250,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-15
251,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-19
252,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,3,300,2024-02-06
